No,Party,URL,Election Name,Allience,Seats,Contested,AC Seat,AC Contested,APC seat
1,BJP,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Bharatiya_Janata_Party_logo.svg/270px-Bharatiya_Janata_Party_logo.svg.png,PC14,NDA,23,24,138,144,138
2,INC,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Indian_National_Congress_hand_logo.svg/225px-Indian_National_Congress_hand_logo.svg.png,PC14,UPA,2,26,12,156,20
3,NCP,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Flag_of_Nationalist_Congress_Party.svg/270px-Flag_of_Nationalist_Congress_Party.svg.png,PC14,UPA,4,21,24,126,20
5,SHS,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Logo_of_Shiv_Sena.svg/270px-Logo_of_Shiv_Sena.svg.png,PC14,NDA,18,20,108,120,96
1,BJP,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Bharatiya_Janata_Party_logo.svg/270px-Bharatiya_Janata_Party_logo.svg.png,PC19,NDA,23,25,138,150,122
2,INC,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Indian_National_Congress_hand_logo.svg/225px-Indian_National_Congress_hand_logo.svg.png,PC19,UPA,1,25,6,150,22
3,NCP,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Flag_of_Nationalist_Congress_Party.svg/270px-Flag_of_Nationalist_Congress_Party.svg.png,PC19,UPA,4,19,24,114,25
5,SHS,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Logo_of_Shiv_Sena.svg/270px-Logo_of_Shiv_Sena.svg.png,PC19,NDA,18,23,108,138,106
4,NCP (SP),https://upload.wikimedia.org/wikipedia/en/thumb/9/93/NCP_Sharadchandra_Pawar.jpg/75px-NCP_Sharadchandra_Pawar.jpg,PC24,INDIA,8,10,48,60,34
6,SHS (UB),https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Ssubtsymbol.jpg/270px-Ssubtsymbol.jpg,PC24,INDIA,9,21,54,126,57
1,BJP,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Bharatiya_Janata_Party_logo.svg/270px-Bharatiya_Janata_Party_logo.svg.png,PC24,NDA,9,28,54,168,78
2,INC,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Indian_National_Congress_hand_logo.svg/225px-Indian_National_Congress_hand_logo.svg.png,PC24,INDIA,13,17,78,102,65
3,NCP,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Flag_of_Nationalist_Congress_Party.svg/270px-Flag_of_Nationalist_Congress_Party.svg.png,PC24,NDA,1,4,6,24,6
5,SHS,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Logo_of_Shiv_Sena.svg/270px-Logo_of_Shiv_Sena.svg.png,PC24,NDA,7,15,42,90,41
